"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","b0","22849","584","3","null","null","0.3","10","0","0","1","0","0","0","0","0","584","0","0","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","c0","23433","500","4","null","null","0.4","10","0","0","0","1","0","0","0","0","0","500","0","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","b1","23934","1348","5","null","null","0.5","10","0","1","0","0","0","0","0","1348","0","0","0","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","a1","25316","600","6","null","null","0.6","10","0","0","0","0","1","0","0","0","0","0","600","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","a0","26300","549","7","null","null","0.7","10","0","0","0","0","0","1","0","0","0","0","0","549"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","b0","26883","1401","8","null","null","0.8","10","0","0","1","0","0","0","0","0","1401","0","0","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","b1","28300","1382","9","null","null","0.9","10","0","1","0","0","0","0","0","1382","0","0","0","0"
"59","group_1","34","::1","5","","2019-11-28 11:33:33","1","mouseout","0_1_2","0_1","0_0","c0","29701","398","10","null","null","1","10","0","0","0","1","0","0","0","0","0","398","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b0","1209","116","1","null","null","0.083333333333333","12","0","0","1","0","0","0","0","0","116","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","a0","1376","984","2","null","null","0.16666666666667","12","0","0","0","0","0","1","0","0","0","0","0","984"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b0","2376","617","3","null","null","0.25","12","0","0","1","0","0","0","0","0","617","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","a1","3009","633","4","null","null","0.33333333333333","12","0","0","0","0","1","0","0","0","0","0","633","0"
